"Run ID","Assay Name","Test Name","Test Date","Qubit® tube conc.","Units","Original sample conc.","Units","Sample Volume (µL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2016-12-21_111404","dsDNA High sensitivity","Sample_#161221-111412","2016/12/21 11:14:12 AM","127","ng/mL","12.7","ng/µL","2","100","106.63","33405.60",,"Blue","Green","8780.82",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110138","2016/12/21 11:01:38 AM","530","ng/mL","53.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","35176.69",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110129","2016/12/21 11:01:29 AM","560","ng/mL","56.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","36866.45",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110121","2016/12/21 11:01:21 AM","487","ng/mL","48.7","ng/µL","2","100","106.63","33405.60",,"Blue","Green","32602.74",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110114","2016/12/21 11:01:14 AM","452","ng/mL","45.2","ng/µL","2","100","106.63","33405.60",,"Blue","Green","30377.87",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110106","2016/12/21 11:01:06 AM","520","ng/mL","52.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","34453.97",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110058","2016/12/21 11:00:58 AM","493","ng/mL","49.3","ng/µL","2","100","106.63","33405.60",,"Blue","Green","32947.44",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110049","2016/12/21 11:00:49 AM","520","ng/mL","52.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","34521.60",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110041","2016/12/21 11:00:41 AM","550","ng/mL","55.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","36561.16",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110031","2016/12/21 11:00:31 AM","158","ng/mL","15.8","ng/µL","2","100","106.63","33405.60",,"Blue","Green","10909.09",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110022","2016/12/21 11:00:22 AM","172","ng/mL","17.2","ng/µL","2","100","106.63","33405.60",,"Blue","Green","11880.71",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110013","2016/12/21 11:00:13 AM","560","ng/mL","56.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","37317.89",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-110003","2016/12/21 11:00:03 AM","580","ng/mL","58.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","38666.66",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105953","2016/12/21 10:59:53 AM","580","ng/mL","58.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","38675.96",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105944","2016/12/21 10:59:44 AM","580","ng/mL","58.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","38536.61",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105920","2016/12/21 10:59:20 AM","Out of range","ng/mL","Out of range","ng/µL","2","100","106.63","33405.60",,"Blue","Green","40359.25",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105909","2016/12/21 10:59:09 AM","600","ng/mL","60.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","39790.73",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105901","2016/12/21 10:59:01 AM","560","ng/mL","56.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","37392.02",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105850","2016/12/21 10:58:50 AM","229","ng/mL","22.9","ng/µL","2","100","106.63","33405.60",,"Blue","Green","15732.08",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105838","2016/12/21 10:58:38 AM","7.35","ng/mL","0.735","ng/µL","2","100","106.63","33405.60",,"Blue","Green","590.24",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105829","2016/12/21 10:58:29 AM","600","ng/mL","60.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","39554.43",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105819","2016/12/21 10:58:19 AM","492","ng/mL","49.2","ng/µL","2","100","106.63","33405.60",,"Blue","Green","32892.29",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105810","2016/12/21 10:58:10 AM","600","ng/mL","60.0","ng/µL","2","100","106.63","33405.60",,"Blue","Green","39588.32",
"2016-12-21_101143","dsDNA High sensitivity","Sample_#161221-105757","2016/12/21 10:57:57 AM","483","ng/mL","48.3","ng/µL","2","100","106.63","33405.60",,"Blue","Green","32341.46",
